Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Watson,SF,27,OKC,3,0,23.7,0.7,4.7,.143,0.7,4.0,.167,0.0,0.7,.000,.214,0.3,0.7,.500,0.7,3.0,3.7,1.0,0.0,1.0,0.7,1.3,2.3
Russell Westbrook,PG,33,LAL,24,24,36.2,7.5,16.9,.446,1.4,4.3,.320,6.2,12.6,.488,.486,3.8,5.5,.684,1.3,6.6,8.0,8.6,1.3,0.2,4.6,3.2,20.3
Coby White,PG,21,CHI,9,1,17.6,2.4,7.0,.349,0.8,3.4,.226,1.7,3.6,.469,.405,0.4,0.8,.571,0.1,2.4,2.6,1.3,0.1,0.1,0.9,1.7,6.1
Derrick White,SG,27,SAS,20,20,31.2,4.5,11.5,.393,1.6,5.1,.304,3.0,6.4,.465,.461,1.6,1.9,.816,0.6,3.0,3.6,5.2,1.2,1.0,1.5,2.2,12.1
Hassan Whiteside,C,32,UTA,22,0,15.3,2.7,4.6,.584,0.0,0.0,0,2.7,4.6,.584,.584,1.4,2.0,.698,2.0,4.4,6.4,0.3,0.2,1.3,1.0,3.0,6.7
Joe Wieskamp,G,22,SAS,2,0,2.5,0.5,0.5,1.000,0.5,0.5,1.000,0.0,0.0,0,1.500,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
Aaron Wiggins,G,23,OKC,9,1,14.4,0.9,2.0,.444,0.7,1.8,.375,0.2,0.2,1.000,.611,0.4,0.8,.571,0.1,1.4,1.6,1.1,0.3,0.1,0.8,1.7,2.9
Andrew Wiggins,SF,26,GSW,22,22,30.3,7.0,14.3,.490,1.9,5.1,.375,5.1,9.2,.554,.557,2.7,3.7,.728,1.1,3.4,4.5,1.6,0.8,0.5,1.7,1.7,18.6
Grant Williams,PF,23,BOS,23,8,21.5,2.5,4.9,.518,1.5,3.3,.442,1.0,1.5,.686,.670,0.8,0.9,.905,0.6,2.7,3.3,1.2,0.3,0.5,0.6,1.9,7.3
Kenrich Williams,SF,27,OKC,19,0,20.2,2.6,5.8,.450,0.7,2.1,.333,1.9,3.8,.514,.509,0.8,1.5,.571,1.1,2.5,3.5,1.7,0.7,0.2,0.8,1.7,6.8
Lou Williams,PG,35,ATL,18,0,13.2,2.4,6.2,.387,0.7,1.8,.375,1.7,4.4,.392,.441,1.2,1.3,.875,0.3,1.2,1.5,1.4,0.5,0.1,0.9,0.8,6.6
Patrick Williams,PF,20,CHI,5,5,25.0,2.6,4.6,.565,0.6,1.2,.500,2.0,3.4,.588,.630,0.8,0.8,1.000,0.2,2.0,2.2,0.6,0.6,0.4,0.4,1.8,6.6
Robert Williams,C,24,BOS,16,16,28.9,4.2,5.6,.744,0.0,0.0,0,4.2,5.6,.744,.744,1.0,1.6,.640,3.8,5.3,9.0,1.2,0.8,1.8,1.1,1.4,9.4
Ziaire Williams,SF,20,MEM,18,0,18.6,1.9,5.4,.357,0.9,3.6,.246,1.1,1.8,.576,.439,0.2,0.3,.667,0.3,1.3,1.6,0.7,0.4,0.3,0.6,1.8,5.0
Dylan Windler,SF,25,CLE,17,0,10.8,1.0,2.2,.459,0.6,1.4,.417,0.4,0.8,.538,.595,0.2,0.2,.750,0.4,1.4,1.8,1.1,0.2,0.1,0.5,1.1,2.8
Justise Winslow,SF,25,LAC,16,0,8.1,0.9,2.5,.375,0.1,0.5,.125,0.9,2.0,.438,.388,0.1,0.3,.500,0.5,1.7,2.2,1.1,0.4,0.3,0.9,0.7,2.1
Christian Wood,C,26,HOU,22,22,31.7,6.2,13.4,.461,1.5,4.5,.340,4.6,8.9,.523,.519,2.3,3.9,.581,1.8,9.5,11.3,2.3,0.5,1.0,1.8,2.3,16.2
Robert Woodard,SF,22,SAC,1,0,3.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delon Wright,SG,29,ATL,21,0,13.8,1.0,2.8,.373,0.3,0.9,.333,0.8,2.0,.390,.424,0.6,0.8,.765,0.9,2.0,2.9,2.0,0.7,0.1,0.5,0.4,3.0
McKinley Wright IV,PG,23,MIN,1,0,4.0,1.0,1.0,1.000,1.0,1.0,1.000,0.0,0.0,0,1.500,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Thaddeus Young,PF,33,SAS,17,0,15.6,3.5,5.8,.602,0.0,0.1,.000,3.5,5.6,.615,.602,0.4,0.9,.438,1.6,2.0,3.6,2.8,1.1,0.4,1.2,1.5,7.4
Trae Young,PG,23,ATL,23,23,34.0,9.2,20.0,.461,2.7,6.8,.389,6.6,13.2,.498,.527,5.1,5.7,.894,0.7,3.2,3.8,9.1,0.9,0.1,3.8,1.8,26.2
Omer Yurtseven,C,23,MIA,14,0,4.3,1.1,1.9,.577,0.0,0.1,.000,1.1,1.8,.600,.577,0.2,0.3,.750,0.4,0.9,1.2,0.1,0.0,0.3,0.3,0.4,2.4
Cody Zeller,C,29,POR,22,0,13.0,1.7,2.8,.607,0.0,0.2,.000,1.7,2.6,.649,.607,1.5,2.0,.756,1.6,2.5,4.2,0.8,0.3,0.2,0.7,2.2,4.9
Ivica Zubac,C,24,LAC,23,23,24.3,3.8,5.7,.669,0.0,0.0,0,3.8,5.7,.669,.669,2.6,3.3,.779,2.5,5.6,8.1,1.2,0.4,0.8,1.1,1.9,10.2
